CPPPGO
CS
CTPS1
CYOO_HP
CYSS
CYSabc
CYTDt2
CYTK1
ADMDC
DAAD
ADNUC
DADK
EX_pime_e
DADNt2
ADNt2
ADPT
DAGK_HP
ADSK
ADSL1r
EX_phe__L_e
ADSL2r
DALAt2r
ADSS
DAPDC
EX_pheme_e
DAPE
EX_pi_e
DASYN_HP
4HGLSD
ADtr
DB4PS
AGMHE
DBTS
AGMT
AHCYSNS
A5PISO
AAtr
ACACT1r
AHSERL2
AICART
AIRC2
AIRC3
AKGt2r
AKO
ALAALAr
DCTPD
ALAD_L
ALAR
ACACt2
ALAt2r
DCTPD2
ALAt4
ALCD2y
AMAA
ACALDt
ACCOAC
ACKr
DCYTt2
ACOATA
AMAOTr
ACONT
DDPA
DDPGA
ACP1_FMN
DGK1
DHDPRy
ACPS
DHDPS
ACS
AMID2
DHFR
AMID4
ACt2r
ADCL
AMID5
DHFS
AMMQT6
ANPRT
ANS
ANS2
ADD
ADEt2
ADK1
DHNAOT2
EX_fe2_e
DHNPA
EX_fe3_e
AOXSr
APRAUR
DHORD3
ARGDC
ARGN
EX_for_e
EX_fum_e
EX_gal_e
EX_glc__D_e
ARGSL
ARGSS
DHORTS
ARGt2r
EX_gln__L_e
EX_glu__L_e
DHPPDA
EX_gly_e
EX_gsn_e
ASAD
ASNN
EX_gua_e
DHPS
EX_h2_e
ASNS2
DHPTDCs
ASNabc
DHQTi
ASNt2r
ASP1DC
ASPCT
ASPK
EX_h2co3_e
EX_h2o_e
EX_h_e
EX_his__L_e
EX_hxan_e
EX_ile__L_e
ASPO2
ASPT
EX_lac__L_e
ASPTA
DHQS
ASPt2r
ATPS4r
EX_leu__L_e
EX_lys__L_e
EX_mal__L_e
BACCL
DKMPPD
BC10_new
EX_met__L_e
EX_na1_e
DMATT
EX_nh4_e
EX_ni2_e
BPNT
BTS2
BIOMASS_HP_published
EX_nmn_e
EX_no2_e
C140SN
EX_no3_e
C160SN
DMPPS
C180SN
C181SN
C190cSN
EX_no_e
EX_o2_e
EX_orn_e
EX_orot_e
EX_pro__L_e
EX_pyr_e
CAT
DM_hmfurn_c
CBPS
CCP
CDAPPA_HP
EX_ser__D_e
EX_ser__L_e
EX_so4_e
CDPMEK
DNMPPA
CHCOAL
EX_succ_e
CHORM
EX_thm_e
CHORS
DNTPPA
CLPNS_HP
EX_thr__L_e
EX_thymd_e
EX_trp__L_e
DPCOAK
EX_tyr__L_e
EX_ura_e
DPR
EX_urea_e
EX_uri_e
CO2t
DSERt2
EX_val__L_e
EX_xan_e
FADOX
EX_etoh_e
DTMPK
GARFT
FBA
DURIK1
FBA2
GART
DURIPP
GCALDD
FBP
DURIt2
FCLPA
FCLT
GF6PTA
DUTPDP
DXPRIi
GFUCS
GHMT2r
GK1
FE2abc
DXPS
FEDCabc
GLCt2
EDA
GLNS
FMNRx2
EDD
FMNAT
GLNabc
EHGLAT
FOLD3
ENO
FORAMD
PIt2r
FORt
GLUDC
ETOHt2r
GLUDy
GLUN
GLUPRT
GLUR
FRD5
FRDO
FTHFD
FTHFLi
FUM
GLUTRR
GLUTRS
FUMt3
EX_aa_e
G1PACT
G1SAT
GLUt2r
EX_ac_e
G3PD1ir
EX_acac_e
G3PD2
GLYCTO1
EX_acald_e
GLYK
G5SADs
GLYt2r
G6PDH1
EX_ad_e
G6PDH2r
GMAND
GMHEPAT
GMHEPK
GALKr
EX_ade_e
GALT
GALUi
GMHEPPA
GMPR
GMPS2
GND
GNNUC
GALt2
GAPD
EX_adn_e
LPSSYN_HP
GRTT
GSNt2
GTMLT
EX_akg_e
GTPCI
GTPCII
GUAPRT
LYSt2r
L_LACt2r
LacR
GUAt
EX_ala__D_e
H2CO3D
EX_ala__L_e
H2CO3D2
MALS
H2CO3TP
EX_arg__L_e
H2Ot
MALt2r
MAN1PT2
EX_asn__L_e
MAN6PI
HBZOPT
MCOATA
MDH4
HCO3E
EX_asp__L_e
EX_cit_e
HEMEti
MDRPD
EX_co2_e
ME1
HETZK
EX_cys__L_e
HEX1
HISabc
HMBS
MECDPDH
MECDPS
MEPCT
METAT
HPPK
EX_cytd_e
HPROa
METB1
EX_dad_2_e
METabc
MOAT_HP
HPROx
HSDy
EX_dcyt_e
HSERTA
EX_duri_e
HSK
HXPRT
HYDA1
MOHMT
MTAN
MTHFC
PGCD
MTHFD
MTHFR2
HYXNt
ICDHyr
ICHORS
MTRI
MTRK
PGI
NADK
NADPHQR
IGPS
ILETA
ILEabc
IMPC
NADS1
PGK
NARK
PMANM
IMPD
PGL
IPDPS
NAt3_1
PGM
NDH_1
KARA1
KARA2
NDPK1
PGMT
NDPK2
KAS14
KAS15
KAS_HP
NDPK3
KAS_HP2
NDPK4
PGPP_HP
NDPK5
NDPK6
KDOCT2
KDOPP
KDOPS
LDH_D1
NDPK7
NDPK8
PGSA_HP
NH4t
NIabc
LEUTA
LEUabc
LPADSS_HP
NMNAT
NMNTP
NNATr
NNDPR
NO
PHCD
NO3t2
NO3t3
SHKK
SHSL1
NOt
PHCHGS
NPHS
NTRARz
PHETA1
PHEt2r
PIMEtr
O2t
OCBT
SHSL2r
PMDPHT
OCOAT1
PMPK
OCTDPS
OMBZLM
PNTK
OMPDC
PPA
OOR3r
PPBNGS
OPHBDC
ORNTA
SHSL4r
PPCDC
SPMS
ORNt2r
OROATP
ORPT
OXGDC2
SPODM
SPRMS
SUCBZL
P5CD
PPM
P5CR
PABB
PANTS
SUCBZS
SUCCt2r
SUCFUMt
SULR
PAPPT3
PAPSR
PPM2
PASYN_HP
PDH2
PEPT_HP
SULabc
TALA
THDPS
PGAMT
PPNCL2
PPND
THMDt2
THMabc
PPNDH
THRD_L
PPPGO
THRS
THRt2r
THZSN
PPS
TKT1
PPTGS
TKT2
PRAGSr
TMDK1
TMDSf
TMPPP
TPI
PRAIS
TRDR
PRAIi
TRPS1
TRPS2
PRASCSi
TRPS3
TRPt2r
TYRTA
PRFGS
TYRt2r
U23GAAT_HP
U2GAAT
PROD2
U2GAAT2
UAAGDS
PROabc
UAGAAT_HP
UAGCVT
UAGDP
UAGDP2
UAGPT3
PROt2r
UAMAGS
UAMAS
UAPGR
PROt4
UDCPDP
UDCPDPS
PRPPS
UDPG4E
UGMDDS
PSCVT
UHGADA_HP
UMPK
UNK2
UPP3S
PSD_HP
UPPDC1
UPPDC2
PSERT
UPPRT
URAt2
PSP_D
PSP_L
UREA
PSSA_HP
UREAt
PTAr
PTPATi
URIDK2r
PUNP1
URIt2
PUNP2
USHD_HP
VALTA
PUNP3
VALabc
XANt2
PUNP4
XPPT
PUNP5
PUNP6
SK_ahcys_c
PUNP7
DM_amob_c
PUTA3
PYRDC
PYRt2
QULNS
RBFK
RBFSa
RBFSb
RFAC_HP
RFA_HP
RHCCE
RNDR1
RNDR2
RNDR3
RNDR4
RPE
RPI
S7PI
SADT2
SDPDS
SDPTA
SERAT
SERD_L
SERt2r
SHCHCS2
SHK3Dr
