2AGPEAT160
2AGPEAT180
5DGLCNR
AACPS10
AACPS11
AACPS3
ABTA
ACACT1r
ACALD
ACBIPGT
AGPAT160
ACCC_1
AGPAT160190
AGPAT190
AGPR
ACChex
ACGAMPM
AHCi
CHLabc
ACGAMT
CHOLD
CHORM
AHCYSNS
ACGK
AHMMPS
AICART
CHORS
CHRPL
ACGS
CIGAMS
CITL
AIRCr
ACHBS
AKGDb
ALAALAD
ALAALAr
ALAD_L
ALAR
ALAt2r
CITabc
CLPNS160190
CMCBTFL
CMCBTFU
CMLDC
CO2t
COAt
COBALTt5
ALDD1
ACKr
ACLS
ALDD19xr
ACODA
ALDD2x
COCHL
COt
AMAOTr
CPC6R
ACONT
CPPPGO
ACOTA
CRNabc
ACP1_FMN
CS
CTPS1
CTPS2
CYANST
CYO1a
CYO1b
CYRDAAT
AMID4
AMMQT8
ACPS1
CYRDAR2
CYSS
CYSTL
ACS
CYSTS
CYTBD
AMMQT8_2
CYTBD2
ACS2
CYTD
AMPTASECG
ANPRT
ANS
CYTDK2
ACYSBMNt
CYTDt2
CYTK1
AOXSr
APRAUR
CYTK2
ADA
ARACHTA
ARB_Dabc
Clt
ADCL
Cuabc
Cut1
ARBabc
ARBt2r
DADA
ARGDC
ADCPS1
ARGDr
ARGSL
ARGSS
ARGt5r
DADK
DAGK160
DALAOX
DALAt2r
DAPDC
DAPE
DASYN160
ASAD
ASNN
DASYN160190
ASNS1
ADCPS2
DASYN190190
DB4PS
ASNt2r
DBTS
ASP1DC
ADCS
ASPCT
ASPK
DCPDP
DCPDPP
ADCYRS
DCPDPS
DCPE
ASPO5
ASPTA
ASPt2r
DCPT
ADK1
DCTPD
AST
ADK2
ATPPRT
ATPS4r
BACCL
BALAt2r
DCTPD2
DCYTD
DDPA
ADMDC
DESAT16
DESAT18
DGC3D
BDH
BETALDHx
BMNMSHS
ADNCYC
BMNt
BPNT
DGK1
DHAD1
DHAD2
BTS2
DHDPRy
ADNK1
DHDPS
DHFR_copy1
DHFS
BTS3r
CAATPS
CAT
ADNK3
CAt4
DHNAOT
CBIAT
ADNK4
CBLAT
CBPS
CDAPPA160
ADOCBIK
CDAPPA160190
ADOCBLS
CDAPPA190
CDPMEK
ADPT
CDPPT160
CDPPT160190
DHNPA_1
ADSK
DHNPA2r
ADSL1r
DHORTS
ADSL2r
DHPPDA
DHPPDA2
EX_lac__L_e
DHPS2
ADSS
DHQTi
AFTA
DHQS
DMATT
DMPPS
EX_lcts_e
EX_leu__L_e
EX_lys__L_e
AGDC
EX_mal__L_e
DNMPPA
DNTPPA
EX_malt_e
AGMT
EX_malthp_e
DPCOAK
DPPS
DPR
DRPA
EX_meoh_e
EX_met__L_e
EX_mg2_e
DSERt2
EX_na1_e
FACOAL200
EX_nh4_e
EX_no2_e
EX_no3_e
EX_no_e
DTMPK
DURIK1
DURIPP
DUTPDP
DXPRIi
DXPS
EX_o2_e
EX_ocdca_e
FACOAL80
EX_orn_e
EX_pac_e
ENO
FACOALPHDCA
EX_pdima_e
FACOALPREPH
EX_phdca_e
ETHAt
EX_acysbmn_e
EX_phe__L_e
FAH4
EX_pi_e
EX_ala_B_e
FAMPL1
EX_ala__D_e
EX_ala__L_e
EX_arab__D_e
EX_arab__L_e
EX_ppa_e
EX_ppdima_e
EX_pro__L_e
EX_pyr_e
EX_rib__D_e
EX_ser__D_e
EX_ser__L_e
EX_arg__L_e
EX_asn__L_e
EX_asp__L_e
EX_skm_e
FAMPL2
EX_so4_e
EX_succ_e
EX_tartr__L_e
EX_atp_e
EX_bmn_e
EX_ca2_e
FAMPL3
EX_chol_e
EX_cit_e
EX_thr__L_e
EX_tre_e
EX_trp__L_e
EX_cl_e
EX_co2_e
EX_tsul_e
FAMPL4
EX_ttdca_e
EX_tyr__L_e
EX_val__L_e
EX_coa_e
EX_cobalt2_e
EX_crn_e
EX_cu2_e
FAMPL5
EX_cytd_e
EX_ac_e
EX_4abz_e
EX_for_e
EX_etha_e
EX_fe2_e
EX_fe3_e
EX_akg_e
EX_gua_e
EX_fum_e
FAO1
EX_gal_e
EX_glc__D_e
EX_ad_e
ADtr
EX_urea_e
FAO10
EX_glu__L_e
EX_gly_e
EX_glyb_e
FAO11
EX_glyc3p_e
EX_glyc_e
FACOAE140
EX_gthrd_e
FAO2
FACOAE160
EX_h2_e
FACOAE180
FAO3
EX_h2co3_e
EX_h2o_e
FAS100
EX_h2s_e
EX_h_e
FACOAL140
FACOAL160
FACOAL161
FACOAL180
EX_hdca_e
EX_his__L_e
EX_id3acald_e
EX_ile__L_e
EX_k_e
FACOAL181
FAS120
FAS140
GLUR
FDH
FAS160
GLUSy
FE3Ri
FAS161
FETRANS
GLUt2r
FAS180
GLXO1
FHL
FAS181
FMNAT
GLYBabc
GLYC3Pabc
FOLD3
FAS200
GLYCK
GLYCL
GLYCTO1
DHFR_copy2
FOMETRi
FORMCOAL
FRD
FRD2
GLYCTO2
GLYCTO3
GLYCTO4
FRD3
FAS240_L
FRRPPDIMAS
GLYCt
GLYK
GLYt2r
FAS260
GMAND
GMPS2
FTHFCL
FTHFD
FUM
FUMt2r
GMT1
FAS80_L
GND
GPDDA2
G16MTM1
G16MTM10
G16MTM2
GRTT
GSNK
G16MTM4
FASPHDCA
G16MTM5
G16MTM6
G16MTM7
G16MTM8
G16MTM9
GTHOr
GTHRDt2_1
GTHS
GTMLT
G1PACT
FASm1601
G1PTT
G1SAT
G3PAT160
GTPCI
GTPCII
GTPCII2
GTPDPK
G3PAT190
GTPH1
FASm180
GUACYC
GUAD
G5SADs
G5SD
GUAPRT
G5SD2
FASm1801
G6PDH2r
GALFT
H2CO3D
GALKr
FASm2001
GALT
GALUi
H2CO3TP
H2Ot
GALt2
GAPD
GARFT
H2St1
H2td
FASm2002
HCO3E
GCCa
GCCb
GCCc
HCYSMT
HDCAt2
FASm220
HEX1
GF6PTA
FASm2201
GFUCS
HISTD
HISTP
GGLUCT2
FASm2202
GHMT2r
FASm240
GK1
HISt2r
GLCabc
FASm2401
HMBS
FASm2402
HMPK1
HMPK2
GLGC
GLNS
GLNSP1
HMPK3
FASm260
HMPK4
HOPNTAL
HPPK
HPPK2
GLNSP2
GLNSP3
GLU5K
GLUCYS
GLUDC
GLUDxi
HSDy
GLUPRT
FASm2601
HSERTA
HSK
HSST
FASm2602
HSTPT
IMPC
FASm280
IMPD
HXPRT
ICDHyr
ICHORS
FASm2801
ICL
INDPYRD
INSH
ID3ACALDt
FASm2802
IG3PS
INSK
IPDDI
IGAMD
FASm300
IGPDH
IPDPS
IPMD
IPPMIa
IPPMIb
IPPS
IGPS
ILETA
ILEt2r
KARA1
KARA2
FASm3001
Kabc
MI1PS
FASm320
MI3PP
FASm340
MMCD
Kt1
FBA
LACZ
FBP
LCTSabc
LDH_L
MME
MMM2
FCLPA
MMSAD1
MMSAD2
LEUTA
LEUt2r
FCLT
LO
MN6PP
MNDNS1
FCLT2
MNDNS2
MOHMT
LPLIPAL2E160
LPLIPAL2E180
LYSt5r
L_LACD
MPML
MSHAMID
MSHOXH
MSHS
FCOAH2
L_LACD2
L_LACD3
MTAN
Mn2t
MTHFC
MTHFD
MTHFR2
MTI
MYC1CYC1
L_LACt2r
L_LACt3
MALS
MALT
MYC1CYC2
NDPK7
MYC1CYC3
MYC1CYC4
MYC1CYC5
MYC1M1
MYC1M2
MALTHPabc
MALTabc
MALt2r
MAN1PT
MAN1PT2
MYC2CYC1
MYC2CYC2
MAN6PI
MANAT1
MANAT2
MANAT3
MCBTS
MCBTS2
MYC2CYC3
MYCON1
MYCON2
MYCON3
MYCON4
MCBTS3
NDPK8
MCD
MCOATA
MDFDH
MYCON5
MYCSacp50
MYCSacp56
MYCSacp58
MYCTR
MYCTR2
MDH
ME1
NH4OHDs
MECDPDH
NADH10
NADH2r
NADH5
MECDPS
MEOHt2
NADH9
NADK
MEPCT
METAT
NH4t
METOX1s
METOX2s
METS
NADS2
NNAM
NADTRHD
NAKtr
METSOXR1
METSOXR2
METabc
MGt5
NAPRT
NNATr
NARK
MHPGLUT
MI1PP
NNDMBRT
NNDPR
NO
NO3R1
PDH
NAt
NDPK1
NDPK2
NO3R2
NDPK3
NDPK4
NOt
NPHS
NDPK5
