Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction,Rxn_1_Prod,Rxn_2_Prod
PSL,ELE_Rxns,ELE_Rxns,204,0.7611940298507462,204,204
PSL,MLE_Rxns,MLE_Rxns,29,0.10820895522388059,29,29
PSL,ZeroFlux_Rxns,MLE_Rxns,1,0.0037313432835820895,1,1
PSL,ZeroFlux_Rxns,ZeroFlux_Rxns,1,0.0037313432835820895,1,1
PSL,pFBAOpt_Rxns,ELE_Rxns,5,0.018656716417910446,5,5
PSL,pFBAOpt_Rxns,MLE_Rxns,2,0.007462686567164179,2,2
PSL,pFBAOpt_Rxns,pFBAOpt_Rxns,1,0.0037313432835820895,1,1
RSL,ELE_Rxns,ELE_Rxns,14,0.05223880597014925,14,14
RSL,ELE_Rxns,pFBAOpt_Rxns,3,0.011194029850746268,3,3
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,8,0.029850746268656716,8,8
