Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod,g_min_Fluxes,g_max_Fluxes,l_min_Fluxes,l_max_Fluxes
GARFT,-19.0585392630344,0.76677625347979,GART,0,19.0653161802645,0.135515102408001,0,-1,0,0,0.135515102408346,0.13551510240656,14.7073479766318
GARFT,-19.0585392630344,0.76677625347979,PFL,0,42.2716936897733,0.135515102408001,0.19565528303823,-1,0,0,27.1751047491282,0.119343767926916,34.2120568059448
GHMT2r,-19.0490064912195,0.358025816645729,PGCD,0,37.5476355898387,0.00340270057457791,0,-1,0,NaN,NaN,0,28.9524971161329
GHMT2r,-19.0490064912195,0.358025816645729,PSERT,0,37.5476355898387,0.00340270057457791,1.67299444916447e-05,-1,0,NaN,NaN,0,28.9524971161329
GHMT2r,-19.0490064912195,0.358025816645729,PSP_L,0,37.5476355898387,0.00340270057457791,0,-1,0,NaN,NaN,0,28.9524971161329
3HAD120,0,0.0231950755833727,AACPS7,0,80.7033902723363,0,0,0,0,0,60.5004219230886,0.00453693409943722,60.4308366963426
3HAD120,0,0.0231950755833727,FACOAE120,0,26.9011298127324,0,0,0,0,0,20.1668073076943,0.00453693409943722,20.1590756158319
3HAD120,0,0.0231950755833727,ECOAH6,-0.0231950755833168,0,0,1.60016463612282,0,-0,-0.0231950755834305,-0,-0.0231950755833168,-0.0045369340994057
3HAD120,0,0.0231950755833727,HACD6i,0,0.0231950755833731,0,0,0,0,0,0.0231950755833857,0.00453693409943722,0.0231950755833728
3HAD120,0,0.0231950755833727,ACACT9,0,0.0231950755833731,0,0,0,0,0,0.0231950755833857,0.00453693409943722,0.0231950755833728
3HAD140,0,0.0186581414839354,AACPS1,0,80.703389717029,0,0.0436679907070832,0,0,0,60.5004219230631,0.00476378080440908,60.4631056400989
3HAD140,0,0.0186581414839354,FACOAE140,0,26.9011310225811,0,0,0,0,0,20.166807307693,0.00476378080440908,20.1668073076912
3HAD160,0,0.0325525021634624,AACPS3,0,80.7033888805348,0,0,0,0,0,60.5004219230791,0.0138943606795265,60.4726332017363
3HAD160,0,0.0325525021634624,FACOAE160,0,26.9011266542092,0,0,0,0,0,20.1668073076934,0.0138943606795265,20.1668073076938
3OAR120,0,0.0231950755833168,AACPS7,0,80.7033902723363,0.110587768673782,0,0,0,0,60.5004219230886,0.00453693409943722,60.4308366963426
3OAR120,0,0.0231950755833168,FACOAE120,0,26.9011298127324,0.110587768673782,0,0,0,0,20.1668073076943,0.00453693409943722,20.1590756158319
3OAR120,0,0.0231950755833168,ECOAH6,-0.0231950755833168,0,0.110587768673782,1.60016463612282,0,-0,-0.0231950755834305,-0,-0.0231950755833168,-0.0045369340994057
