,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,CMCBTFL,VIUB,pFBAOpt_Rxns,MLE_Rxns,Redox Metabolism,Transport
1,CMCBTFU,VIUB,pFBAOpt_Rxns,MLE_Rxns,Redox Metabolism,Transport
2,CTPS1,CTPS2,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
3,AMMQT8,AMMQT8_2,pFBAOpt_Rxns,MLE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Oxidative Phosphorylation
4,CYTBD,DHORDi,pFBAOpt_Rxns,MLE_Rxns,Redox Metabolism,Purine and Pyrimidine Biosynthesis
5,CYTK1,NTD4,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
6,DADK,NTPP5,pFBAOpt_Rxns,MLE_Rxns,Nucleotide Salvage Pathway,Nucleotide Salvage Pathway
7,ASNt2r,ASNS1,pFBAOpt_Rxns,MLE_Rxns,Transport,"Alanine, Aspartate, and Glutamate Metabolism"
8,ADK1,ADK2,pFBAOpt_Rxns,ELE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
9,DHNPA2r,DHNPA_1,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
10,DHNPA2r,FOLD3,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
11,DHNPA2r,HPPK,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
12,DHPPDA,DHPPDA2,pFBAOpt_Rxns,pFBAOpt_Rxns,Riboflavin Metabolism,Riboflavin Metabolism
13,DHPPDA,GTPCII2,pFBAOpt_Rxns,pFBAOpt_Rxns,Riboflavin Metabolism,Cofactor and Prosthetic Group Biosynthesis
14,DHPS2,DHNPA_1,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
15,DHPS2,FOLD3,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
16,DHPS2,HPPK,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
17,DMPPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Polyprenyl Metabolism
18,FAS160,ETHAt,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Transport
19,FAS160,GPDDA2,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Glycerophospholipid metabolism
20,FAS160,LPLIPAL2E160,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
21,FAS160,PLIPA1E160,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
22,FAS181,DESAT18,pFBAOpt_Rxns,ELE_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
23,FAS181,FACOAL180,pFBAOpt_Rxns,ELE_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
24,FAS181,FACOAL181,pFBAOpt_Rxns,ELE_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
25,DHFR_copy2,DHFR_copy1,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
26,FRD,GLUCYS,pFBAOpt_Rxns,MLE_Rxns,Citric Acid Cycle,"Alanine, Aspartate, and Glutamate Metabolism"
27,FRD,EGTB,pFBAOpt_Rxns,MLE_Rxns,Citric Acid Cycle,Ergothioneine biosynthesis
28,FRD,EGTC,pFBAOpt_Rxns,MLE_Rxns,Citric Acid Cycle,Ergothioneine biosynthesis
29,FRD,EGTE,pFBAOpt_Rxns,MLE_Rxns,Citric Acid Cycle,Ergothioneine biosynthesis
30,FRD,EGTD,pFBAOpt_Rxns,MLE_Rxns,Citric Acid Cycle,
31,GLYCt,G3PD1ir,pFBAOpt_Rxns,ELE_Rxns,Transport,Glycerophospholipid metabolism
32,GLYCt,G3PT,pFBAOpt_Rxns,MLE_Rxns,Transport,Glycerophospholipid metabolism
33,GLYK,G3PD1ir,pFBAOpt_Rxns,ELE_Rxns,Alternate Carbon Metabolism,Glycerophospholipid metabolism
34,G16MTM2,MANAT2,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycerophospholipid metabolism,Fatty Acid Metabolism
35,GTPCII,DHPPDA2,pFBAOpt_Rxns,pFBAOpt_Rxns,Riboflavin Metabolism,Riboflavin Metabolism
36,GTPCII,GTPCII2,pFBAOpt_Rxns,pFBAOpt_Rxns,Riboflavin Metabolism,Cofactor and Prosthetic Group Biosynthesis
37,GHMT2r,ICL,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism
38,GLGC,MTI,pFBAOpt_Rxns,ELE_Rxns,Alternate Carbon Metabolism,Alternate Carbon Metabolism
39,GLGC,MAK,pFBAOpt_Rxns,ELE_Rxns,Alternate Carbon Metabolism,Others
40,GLGC,GLGE,pFBAOpt_Rxns,ELE_Rxns,Alternate Carbon Metabolism,Starch and sucrose metabolism
41,HPPK2,DHNPA_1,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
42,HPPK2,FOLD3,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
43,HPPK2,HPPK,pFBAOpt_Rxns,pFBAOpt_Rxns,Folate Metabolism,Folate Metabolism
44,GLU5K,ORNTA,pFBAOpt_Rxns,ELE_Rxns,Urea Cycle,Arginine and Proline Metabolism
45,MI3PP,MI1PS,pFBAOpt_Rxns,pFBAOpt_Rxns,Inositol phosphate metabolism,Inositol phosphate metabolism
46,MI3PP,MI1PP,pFBAOpt_Rxns,pFBAOpt_Rxns,Inositol phosphate metabolism,Inositol phosphate metabolism
