ACACT1r
ACALD
ACLS_a
ACOATA
ACS
ADK3
AKGtex_r
ASPT
ATHRDHr
CA2t3pp
CAt6pp
DHORD5
EX_fe2_e
EX_fe3_e
FE2tex
FE3tex
FEROpp
FFSD1r
FORtex_r
FRD2
FUMtex_r
GLBRAN2
GLCP
GLCP2
GLCS1
GLDBRAN2
GLGC
GLYAT
GLYCDx
GRXR
GTHOr
ICHORS_copy1
ICHORS_copy2
INDOLEt2pp
INDOLEt2rpp
KAS14
KAT1
NADTRHD
NAt3pp
NDPK6
NDPK8
PAPSR2
PPM
PYK
R15BPK
R1PK
RNDR1
RNDR1b
RNDR2b
RNDR3b
RNDR4b
RNTR4c
SUCCtex_r
THRA2
THRD_L
THRtex_r
TRE6PH
TRPS2
TRPS3
URAt2pp_copy1
URAt2pp_copy2
VPAMTr
XYLI2
ilvg
