3OXCOAT
12PPDt
3UMPtex
42A12BOOXpp
14GLUCANabcpp
4HOXPACDtex
14GLUCANtexi
23CAMPtex
23CCMPtex
23CGMPtex
23CUMPtex
23DAPPAt2pp
2INSD
34dhpactex
3AMPtex
23DAPPAtex
23PDE2pp
23PDE4pp
3CMPtex
23PDE7pp
23PDE9pp
3GMPtex
3HCINNMH
3HPPPNH
3NTD2pp
3NTD4pp
3NTD7pp
3NTD9pp
ACGAM1Ptex
ACGAptspp
ACGAtex
3OADPCOAT
ADNt2pp
AAMYL
ADNtex
AAMYLpp
AGDC
ABTDG
ACGAL1Ptex
ALAtex
ASCBPL
ASCBptspp
ASCBtex
ALAALAabcpp
ALAALAtex
ALDD19xr
ALAabcpp
ALAt2pp
ALAt4pp
BZDIOLDH
BZt
BGLK
CATDOX
ALTRH
BZ12DOX
CELLBabc
CMCMSAD
CMHMI
CMPtex
AMALT1
AMALT2
AMALT3
CHLtex
AMALT4
CITACt
CITt4_1
CSNt2pp
CSNtex
CU1Opp
AMPTASEPG
AMPtex
CU2tex
CUtex
CYSDtex
CYANSTpp
CYANtex
CYSDDS
CYSDabcpp
DCYTt2pp
DCYTtex
DDCAtexi
DDGALK
CYTDt2pp
CYTDtex
DDGLCNt2rpp
DDGLCNtex
DDGLK
DDPGALA
D5KGK
DGMPtex
DGSNt2pp
DGSNtex
D5KGPA
DADNt2pp
DADNtex
ARAI
DHCINDO
DHEDAA
DAMPtex
DAPAL
DHPACCOAHIT
DHPDO
DIMPtex
ARBtex
DINSt2pp
DINStex
DCMPtex
DKDID
DOPAtex
DSERt2pp
DSERtex
DTMPtex
DUMPtex
EX_cellb_e
DURIt2pp
DURItex
ETHSO3abcpp
ETHSO3tex
FDMO
F6Pt6_2pp
F6Ptex
FDMO3
FDMO6
FACOAL80t2pp
FRUpts2pp
FRUptspp
FRUtex
FCI
FCLK
FCLPA
FUCtex
FUCtpp
G1PPpp
G1Ptex
GALCTNt2pp
GALCTNtex
G2PPpp
GALCTt2rpp
GALCTtex
GALKr
GALM2pp
GALS3
GALTptspp
GALTtex
GALURt2rpp
GALURtex
GALabcpp
G3PCtex
GALt2pp
GALtex
GAM6Pt6_2pp
GAMAN6Ptex
GAMptspp
GAMtex
GCALDD
G3PIabcpp
G3PItex
G3PSabcpp
G3PStex
G6Pt6_2pp
G6Ptex
GAL1PPpp
GAL1Ptex
GALBDtex
GALCTD
GLCRAL
GLCRD
GLNabcpp
GLCRt2rpp
GLCRtex
GLNtex
GLTPD
GLCUR1Ptex
GLCURt2rpp
GLCURtex
GLUNpp
GLYt2pp
GLYt4pp
GLYtex
GMPtex
FFSD
GPDDA1pp
GPDDA3
GPDDA3pp
GLYC2Ptex
GPDDA5
GPDDA5pp
GLYCAt2rpp
GLYCAtex
GSNt2pp
GSNtex
GLYCK2
GUI1
GUI2
H2O2tex
FMNRx
FMNRx2
HADPCOADH
HCINNMt2rpp
HCINNMtex
HCYSMT2
HDCAtexi
HDCEAtexi
HHDDI
IMPtex
FRUK
INS2D
GALCTND
HKNDDH
HKNTDH
INSTt2
INSTtex
INSt2pp
INStex
ISETACabcpp
ISETACtex
HOPNTAL
HPA3MO
HPACt2r
HPPPNDO
HPPPNt2rpp
HPPPNtex
MALTTRabcpp
KG6PDC
MALTTRtexi
MALTTTRabcpp
MALTTTRtexi
MALTabcpp
MALTtexi
MALt2_2pp
MALt2_3pp
MALtex
MAN6Pt6_2pp
MAN6Ptex
MANAO
