EX_cd2_e
EX_cbi_e
EX_cbl1_e
2DGLCNRx
2DGLCNRy
2DGULRx
2DGULRy
4HTHRS
26DAHtex
5DGLCNtex
5DOAN
ACGALtex
ACGAMK
ACGAMT
ACMAMUT
ACMANAptspp
ACMANAtex
ACMUMptspp
ACMUMtex
AADDGT
ADOCBIK
ADOCBLS
ADOCBLabcpp
ADOCBLtonex
AB6PGH
ACOLIPAtex
ACONIs
ACONMT
AGM3PA
AGM3PH
AGM3Pt2pp
ACPS1
AGM4PA
AGM4PCP
ABUTt2pp
AGM4PH
AGM4Pt2pp
AGMH
ABUTtex
ADCL
AGMt2pp
ADCPS1
ADCS
ACANTHAT
ACBIPGT
ADCYRS
AGt3
ADMDC
AHCYSNS
23DK5MPPISO
ASNTRS
ASO3t8pp
ALCD3ir
ASO3tex
ASP1DC
ASPO3
ASPO4
ASPO5
ASPO6
ALATRS
ALDD3y
ASPTRS
ALLPI
ALLULPE
ALLtex
BALAt2pp
BALAtex
BETALDHx
CA2tex
ALPATE160pp
BETALDHy
BLUB
BSORx
BSORy
CBIAT
CBItonex
ALPATG160pp
CBIuabcpp
CBL1abcpp
CBL1tonex
ALR2
CBLAT
ALR4x
BTS4
BUTCT
BUTSO3abcpp
BUTSO3tex
BUTtex
CD2tex
AM3PA
CLt3_2pp
AM4PA
CLtex
CDPMEK
AM4PCP
CFAS160E
CFAS160G
CFAS180E
CFAS180G
COBALT2tex
COLIPAabcpp
CHLabcpp
CHLt2pp
CHRPL
CPC2MT
CPC3MT
CPC4MT
AMANAPEr
CPC5MT
AMAOTr
CPC6MT
CPC6R
CPC8MM
AMMQLT8
CPGNabcpp
AMPMS2
CPPPGO2
CRNtex
CU1abcpp
CUt3
CYANST
CYSSADS
ANHMK
CYNTt2pp
CYNTtex
CYRDAAT
CYRDAR2
CYSTRS
CYRDAS
AOBUTDs
AOXSr
AP4AH
AP5AH
APPLDHr
APRAUR
APTNAT
DHBD
ARAT
DHFS
DHNAOT4
DHNPA2r
DAPAT
ARBTNabcpp
DHPPDA2
DHPS2
DHPTPE
DB4PS
DBTS
DCAtex
DKGLCNR1
DKGLCNR2x
ARD_1
DKGLCNR2y
DKMPPD
DKMPPD3
DMATT
DMPPS
