EX_cit_e
EX_cm_e
EX_cmp_e
EX_glcr_e
EX_cl_e
EX_co2_e
EX_cobalt2_e
EX_colipa_e
EX_colipap_e
EX_chtbs_e
DM_4crsol_c
DM_5drib_c
DM_aacald_c
DM_amob_c
EX_cpgn_e
EX_cpgn_un_e
DM_mththf_c
EX_glcur_e
DM_oxam_c
EX_crn_e
EX_crn__D_e
BIOMASS_Ec_iJO1366_WT_53p95M
EX_csn_e
BIOMASS_Ec_iJO1366_core_53p95M
EX_cu_e
EX_glcur1p_e
EX_cu2_e
EX_cyan_e
EX_12ppd__R_e
EX_12ppd__S_e
EX_cynt_e
EX_cys__D_e
EX_14glucan_e
EX_15dap_e
EX_23camp_e
EX_23ccmp_e
EX_23cgmp_e
EX_23cump_e
EX_23dappa_e
EX_26dap__M_e
EX_2ddglcn_e
EX_34dhpac_e
EX_3amp_e
EX_cys__L_e
EX_cytd_e
EX_dad_2_e
EX_damp_e
EX_dca_e
EX_dcmp_e
EX_dcyt_e
EX_ddca_e
EX_dgmp_e
EX_dgsn_e
EX_dha_e
EX_dimp_e
EX_din_e
EX_3cmp_e
EX_3gmp_e
EX_3hcinnm_e
EX_3hpp_e
EX_3hpppn_e
EX_dms_e
EX_dmso_e
EX_3ump_e
EX_gln__L_e
EX_4abut_e
EX_4hoxpacd_e
EX_dopa_e
EX_doxrbcn_e
EX_5dglcn_e
EX_5mtr_e
EX_dtmp_e
EX_dump_e
EX_duri_e
EX_eca4colipa_e
EX_enlipa_e
EX_LalaDglu_e
EX_LalaDgluMdap_e
EX_LalaDgluMdapDala_e
EX_LalaLglu_e
EX_ac_e
EX_acac_e
EX_enter_e
EX_etha_e
EX_acald_e
EX_ethso3_e
EX_glu__L_e
EX_etoh_e
EX_f6p_e
EX_fald_e
EX_acgal_e
EX_acgal1p_e
EX_acgam_e
EX_acgam1p_e
EX_fe2_e
EX_fe3_e
EX_acmana_e
EX_fe3dcit_e
EX_acmum_e
EX_gly_e
EX_acnam_e
EX_acolipa_e
EX_fe3dhbzs_e
EX_fe3hox_e
EX_fe3hox_un_e
