Var1,Var2
3HAD180,ACOAD8f
3HAD180,AACPS6
3HAD180,FACOAE180
3HAD180,FACOAL181t2pp
3HAD180,CTECOAI8
3OAR120,AACPS7
3OAR120,ECOAH6
3OAR120,FACOAE120
3OAR120,HACD6i
3OAR120,ACACT9
3OAR160,AACPS3
3OAR160,FACOAE160
3OAR180,ACOAD8f
3OAR180,AACPS6
3OAR180,FACOAE180
3OAR180,FACOAL181t2pp
3OAR180,CTECOAI8
3OAS120,AACPS7
3OAS120,ECOAH6
3OAS120,FACOAE120
3OAS120,HACD6i
3OAS120,ACACT9
3OAS160,AACPS3
3OAS160,FACOAE160
3OAS180,ACOAD8f
3OAS180,AACPS6
3OAS180,FACOAE180
3OAS180,FACOAL181t2pp
3OAS180,CTECOAI8
3HAD120,AACPS7
3HAD120,ECOAH6
3HAD120,FACOAE120
3HAD120,HACD6i
3HAD120,ACACT9
3HAD140,AACPS1
3HAD140,FACOAE140
3HAD160,AACPS3
3HAD160,FACOAE160
ASNS2,ASNS1
DHORD2,DHORD5
EAR121x,EAR121y
EAR141x,EAR141y
DKMPPD3,DKMPPD
EAR161x,EAR161y
EAR181x,EAR181y
EAR40x,EAR40y
EAR60x,EAR60y
EAR80x,EAR80y
FORtppi,GART
G5SD,NACODA
FUM,SUCCt3pp
GARFT,GART
GLCtex_copy2,GLCtex_copy1
GLYCtpp,GLYCtex
GLU5K,NACODA
GLUDy,GLUSy
KAS15,KAS14
Kt2pp,Kabcpp
MTHFC,GART
MTHFD,GART
ORNDC,AGMT
ORNDC,UREAtex
ORNDC,UREAtpp
PA140abcpp,CLPNH140pp
PA160abcpp,CLPNH160pp
PA161abcpp,CLPNH161pp
PA180abcpp,CLPNH180pp
PA181abcpp,CLPNH181pp
PAPA161pp,ENLIPAtex
PAPA161pp,PETNT161pp
PAPA181pp,ENLIPAtex
PAPA181pp,PETNT181pp
PAPSR,GTHOr
PAPSR,GRXR
PAPSR,PAPSR2
PG140abcpp,PGP140abcpp
PG140abcpp,PGPP140pp
PG160abcpp,PGP160abcpp
PG160abcpp,PGPP160pp
PG161abcpp,PGP161abcpp
PG161abcpp,PGPP161pp
PG180abcpp,PGP180abcpp
PG180abcpp,PGPP180pp
PG181abcpp,PGP181abcpp
PG181abcpp,PGPP181pp
PGPP140,PGP140abcpp
PGPP140,PGPP140pp
PGPP160,PGP160abcpp
PGPP160,PGPP160pp
PGPP161,PGP161abcpp
PGPP161,PGPP161pp
PGPP180,PGP180abcpp
PGPP180,PGPP180pp
PGPP181,PGP181abcpp
PGPP181,PGPP181pp
PIt2rpp,PIuabcpp
PPC,ICL
RNTR1c,NDPK8
RNTR2c,NDPK5
RNTR3c,NDPK7
TRDR,GTHOr
TRDR,GRXR
TRDR,PAPSR2
TRPS1,TRPS2
TRPS1,TRPS3
VALTA,VPAMTr
ZN2tpp,ZNabcpp
SUCDi,DMATT
SUCDi,GRTT
CBMKr,CBPS
SO3R,SULR
OA5L_ST,OA5VL_ST
ADK3,ADK1
GAPD,ATPS4rpp
NDPK1,ADK1
NDPK1,ADK3
MTHFC,GARFT
MTHFD,GARFT
O2tex,DKMPPD3
O2tex,ENO
O2tex,FBA
O2tex,GAPD
O2tpp,DKMPPD3
O2tpp,ENO
O2tpp,FBA
O2tpp,GAPD
PAPA161pp,LIPAabcpp
PAPA181pp,LIPAabcpp
PGCD,GHMT2r
PFK,O2tex
PFK,O2tpp
PGK,ATPS4rpp
PGK,O2tex
PGK,O2tpp
PGM,O2tex
PGM,O2tpp
PPC,FUM
PPC,MDH
PPC,O2tex
PPC,O2tpp
PPC,MALS
PSERT,GHMT2r
PSP_L,GHMT2r
RPE,GND
RPI,RPE
TKT1,RPE
TKT1,RPI
TKT2,GND
TKT2,RPE
TKT2,RPI
TKT2,TKT1
TPI,FBA
TPI,O2tex
TPI,O2tpp
TPI,PFK
SUCDi,PPC
SUCOAS,AKGDH
TALA,RPI
TALA,TKT1
TALA,TKT2
