,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,rxn1_short_bool,rxn2_short_bool,rxn1_cluster_len,rxn2_cluster_len,Subsystem 1,Subsystem 2,same_subsystems,Rxn_1_Type,Rxn_2_Type,PSL RSL Type,PSL Type
0,"['AACPS6', 'ECOAH8', 'FACOAE180', 'FADRx2', 'MACPD']","[0.0019746448724999996, 0.0019746448724995975, 0.001974644872499842, 0.001974644872115918, 0.0019746448725000976]","[0.0019746448724999996, 0.0019746448724995975, 0.001974644872499842, 0.001974644872115918, 0.0019746448725000976]",['ECOAH8'],"['AACPS6', 'FACOAE180', 'FADRx2', 'MACPD']",[],3HAD180,ACOAD8f,0.029619673087525212,1,5,0,5.0,0.009873224362115456,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,ELE_Rxns,ELE_Rxns,RSL,False
1,"['AACPS6', 'ECOAH8', 'FACOAE180', 'FADRx2', 'MACPD']","[0.001974644872499958, 0.001974644872385495, 0.001974644872499568, 0.0019746448705735215, 0.001974644873971726]","[0.001974644872499958, 0.001974644872385495, 0.001974644872499568, 0.0019746448705735215, 0.001974644873971726]",['ECOAH8'],"['AACPS6', 'FACOAE180', 'FADRx2', 'MACPD']",[],3HAD180,AACPS6,0.029619673087501203,1,5,0,5.0,0.009873224361930267,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,ELE_Rxns,ELE_Rxns,PSL,True
2,"['AACPS6', 'ECOAH8', 'FACOAE180', 'FADRx2', 'MACPD']","[0.0019746448724999996, 0.001974644872537984, 0.0019746448725000004, 0.0019746448724524066, 0.0019746448725001184]","[0.0019746448724999996, 0.001974644872537984, 0.0019746448725000004, 0.0019746448724524066, 0.0019746448725001184]",['ECOAH8'],"['AACPS6', 'FACOAE180', 'FADRx2', 'MACPD']",[],3HAD180,FACOAE180,0.029619673087446115,1,5,0,5.0,0.00987322436249051,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,ELE_Rxns,ELE_Rxns,PSL,True
3,"['3HAD181', '3OAR181', '3OAS181', 'ACOAD7f', 'AACPS6', 'EAR181x', 'FACOAE161', 'FACOAE180', 'FACOAL181t2pp', 'CTECOAI8']","[0.0019746448724999766, 0.0019746448724999766, 0.0019746448724999766, 0.0019746448724990706, 0.001974644872499994, 0.0019746448724999766, 0.0019746448724990706, 0.0019746448724999905, 0.0019746448724999905, 0.0019746448724999905]","[0.0019746448724999766, 0.0019746448724999766, 0.0019746448724999766, 0.0019746448724990706, 0.001974644872499994, 0.0019746448724999766, 0.0019746448724990706, 0.0019746448724999905, 0.0019746448724999905, 0.0019746448724999905]",['ACOAD7f'],"['AACPS6', 'FACOAE161', 'FACOAE180', 'FACOAL181t2pp', 'CTECOAI8']","['3HAD181', '3OAR181', '3OAS181', 'EAR181x']",3HAD180,FACOAL181t2pp,0.04146754232249886,1,10,4,10.0,0.01974644872499801,STM_v1_0,False,False,5,5,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,ELE_Rxns,ELE_Rxns,PSL,True
4,"['3HAD181', '3OAR181', '3OAS181', 'ACOAD7f', 'AACPS4', 'AACPS6', 'EAR181y', 'FACOAE161', 'FACOAE180', 'CTECOAI8']","[0.0019746448725003105, 0.0019746448725003105, 0.0019746448725003105, 0.0019746448729569543, 0.001974644872037745, 0.00197464487317288, 0.0019746448725003105, 0.0019746448729569543, 0.0019746448725001236, 0.0019746448725001236]","[0.0019746448725003105, 0.0019746448725003105, 0.0019746448725003105, 0.0019746448729569543, 0.001974644872037745, 0.00197464487317288, 0.0019746448725003105, 0.0019746448729569543, 0.0019746448725001236, 0.0019746448725001236]",['ACOAD7f'],"['AACPS4', 'AACPS6', 'EAR181y', 'FACOAE161', 'FACOAE180', 'CTECOAI8']","['3HAD181', '3OAR181', '3OAS181']",3HAD180,CTECOAI8,0.03949289744900458,1,10,3,10.0,0.019746448726126027,STM_v1_0,False,False,6,6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,ELE_Rxns,ELE_Rxns,PSL,True
5,"['AACPS7', 'ECOAH5', 'FACOAE120', 'FADRx2', 'MACPD']","[0.0021267152247499994, 0.0021267152249138076, 0.0021267152247499994, 0.002126715225992684, 0.0021267152259341494]","[0.0021267152247499994, 0.0021267152249138076, 0.0021267152247499994, 0.002126715225992684, 0.0021267152259341494]",['ECOAH5'],"['AACPS7', 'FACOAE120', 'FADRx2', 'MACPD']",[],3OAR120,AACPS7,0.03190072837100377,1,5,0,5.0,0.01063357612634064,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,ELE_Rxns,ELE_Rxns,PSL,True
6,"['ACOATA', 'AACPS7', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6']","[0.0021267152247499334, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.002126715224749798]","[0.0021267152247499334, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.002126715224749798]",['ACOATA'],"['AACPS7', 'FACOAE120', 'HACD6i', 'ACACT9']",['CTECOAI6'],3OAR120,ECOAH6,0.05104116539400018,1,6,1,6.0,0.012760291348499611,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,ELE_Rxns,ELE_Rxns,RSL,False
7,"['AACPS7', 'ECOAH5', 'FACOAE120', 'FADRx2', 'MACPD']","[0.0021267152247499994, 0.002126715224749999, 0.0021267152247499994, 0.00212671522490733, 0.0021267152247500115]","[0.0021267152247499994, 0.002126715224749999, 0.0021267152247499994, 0.00212671522490733, 0.0021267152247500115]",['ECOAH5'],"['AACPS7', 'FACOAE120', 'FADRx2', 'MACPD']",[],3OAR120,FACOAE120,0.03190072837136183,1,5,0,5.0,0.01063357612390734,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis,True,ELE_Rxns,ELE_Rxns,PSL,True
8,"['ACOATA', 'AACPS7', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6']","[0.0021267152247499334, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.002126715224749798]","[0.0021267152247499334, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.002126715224749798]",['ACOATA'],"['AACPS7', 'FACOAE120', 'HACD6i', 'ACACT9']",['CTECOAI6'],3OAR120,HACD6i,0.05104116539400018,1,6,1,6.0,0.012760291348499611,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,ELE_Rxns,ELE_Rxns,PSL,True
9,"['ACOATA', 'AACPS7', 'FACOAE120', 'HACD6i', 'ACACT9', 'CTECOAI6']","[0.0021267152247499334, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.002126715224749798]","[0.0021267152247499334, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.00212671522474997, 0.002126715224749798]",['ACOATA'],"['AACPS7', 'FACOAE120', 'HACD6i', 'ACACT9']",['CTECOAI6'],3OAR120,ACACT9,0.05104116539400018,1,6,1,6.0,0.012760291348499611,STM_v1_0,False,False,4,4,Cell Envelope Biosynthesis,Membrane Lipid Metabolism,False,ELE_Rxns,ELE_Rxns,PSL,True
