,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,Type,Rxn_1_Active,Rxn_2_Active,Rxn_1_Min,Rxn_2_Min,v1,v2
0,"['3HAD180', '3OAR180', '3OAS180', 'ACOAD8f', 'AACPS3', 'AACPS6', 'EAR180x', 'ECOAH8', 'FACOAE160', 'FACOAE180', 'FADRx2', 'HACD8i', 'ACACT8r', 'MACPD']","[-0.0019746448724999996, -0.0019746448724999996, -0.0019746448724999996, -0.0019746448724999957, -0.0019746448724999996, 0.0019746448724999996, -0.0019746448724999996, 0.0019746448724999957, -0.0019746448724999957, 0.0019746448724999957, 0.0019746448724999957, -0.0019746448724999957, -0.0019746448724999957, 0.001974644872496752]","[0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999957, 0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999957, 0.0019746448724999957, 0.0019746448724999957, 0.0019746448724999957, 0.0019746448724999957, 0.0019746448724999957, 0.001974644872496752]","['ACOAD8f', 'AACPS6', 'FACOAE180', 'FADRx2', 'MACPD']","['3HAD180', '3OAR180', '3OAS180', 'AACPS3', 'EAR180x', 'ECOAH8', 'FACOAE160', 'HACD8i', 'ACACT8r']",[],3HAD180,ACOAD8f,0.02961967308750144,1,14,0,-4.0,-0.007898579490003242,STM_v1_0,PSL,False,True,0.0,-0.0020791919256658,0.0020785764243092,0.0
1,"['3HAD180', '3OAR180', '3OAS180', 'ACOAD8f', 'ACOATA', 'AACPS3', 'AACPS6', 'EAR180x', 'ECOAH8', 'FACOAE160', 'FACOAE180', 'FADRx2', 'HACD8i', 'ACACT8r', 'MACPD']","[-0.0019746448724999996, -0.0019746448724999996, -0.0019746448724999996, -0.0019746448724999965, -0.0019746448724999865, -0.001974644872499958, 0.0019746448724999965, -0.0019746448724999996, 0.00197464487249999, -0.0019746448724999735, 0.0019746448724999965, 0.0019746448724999965, -0.00197464487249999, -0.00197464487249999, 0.0019746448724998755]","[0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999965, 0.0019746448724999865, 0.001974644872499958, 0.0019746448724999965, 0.0019746448724999996, 0.00197464487249999, 0.0019746448724999735, 0.0019746448724999965, 0.0019746448724999965, 0.00197464487249999, 0.00197464487249999, 0.0019746448724998755]","['ACOAD8f', 'ACOATA', 'AACPS6', 'FACOAE180', 'FADRx2', 'MACPD']","['3HAD180', '3OAR180', '3OAS180', 'AACPS3', 'EAR180x', 'ECOAH8', 'FACOAE160', 'HACD8i', 'ACACT8r']",[],3HAD180,AACPS6,0.029619673087499705,1,15,0,-5.0,-0.009873224362500037,STM_v1_0,PSL,False,False,0.0,0.0,0.0020785764243092,0.0
2,"['3HAD180', '3OAR180', '3OAS180', 'ACOAD8f', 'ACOATA', 'AACPS3', 'AACPS6', 'EAR180x', 'ECOAH8', 'FACOAE160', 'FACOAE180', 'FADRx2', 'HACD8i', 'ACACT8r', 'MACPD']","[-0.0019746448724999996, -0.0019746448724999996, -0.0019746448724999996, -0.0019746448725000186, -0.001974644872479392, -0.0019746448726521426, 0.0019746448724999996, -0.0019746448724999996, 0.00197464487250002, -0.001974644872500021, 0.0019746448725000186, 0.001974644872500008, -0.00197464487250002, -0.00197464487250002, 0.001974644872479227]","[0.0019746448724999996, 0.0019746448724999996, 0.0019746448724999996, 0.0019746448725000186, 0.001974644872479392, 0.0019746448726521426, 0.0019746448724999996, 0.0019746448724999996, 0.00197464487250002, 0.001974644872500021, 0.0019746448725000186, 0.001974644872500008, 0.00197464487250002, 0.00197464487250002, 0.001974644872479227]","['ACOAD8f', 'ACOATA', 'AACPS6', 'FACOAE180', 'FADRx2', 'MACPD']","['3HAD180', '3OAR180', '3OAS180', 'AACPS3', 'EAR180x', 'ECOAH8', 'FACOAE160', 'HACD8i', 'ACACT8r']",[],3HAD180,FACOAE180,0.02961967308749988,1,15,0,-5.0,-0.00987322436265234,STM_v1_0,PSL,False,False,0.0,0.0,0.0020785764243092,0.0
3,"['3HAD180', '3HAD181', '3OAR180', '3OAR181', '3OAS180', '3OAS181', 'ACOAD7f', 'ACOAD8f', 'AACPS3', 'AACPS5', 'AACPS6', 'EAR180x', 'EAR181x', 'FA161ACPHi', 'FACOAE160', 'FACOAE161', 'FACOAE180', 'FACOAL181t2pp', 'CTECOAI7', 'CTECOAI8', 'OCDCEAt2pp']","[-0.0019746448724999996, 0.001974644872499669, -0.0019746448724999996, 0.001974644872499669, -0.0019746448724999996, 0.001974644872499669, 0.0019746448724994045, -0.0019746448724998677, -0.001974644872499917, -0.0019746448725028744, 0.0019746448724999605, -0.0019746448724999996, 0.001974644872499669, -0.0019746448724996687, -0.0019746448724994045, 0.0019746448724996687, 0.0019746448724999605, 0.0019746448724998677, -0.0019746448724994045, 0.0019746448724998677, -0.0019746448725028744]","[0.0019746448724999996, 0.001974644872499669, 0.0019746448724999996, 0.001974644872499669, 0.0019746448724999996, 0.001974644872499669, 0.0019746448724994045, 0.0019746448724998677, 0.001974644872499917, 0.0019746448725028744, 0.0019746448724999605, 0.0019746448724999996, 0.001974644872499669, 0.0019746448724996687, 0.0019746448724994045, 0.0019746448724996687, 0.0019746448724999605, 0.0019746448724998677, 0.0019746448724994045, 0.0019746448724998677, 0.0019746448725028744]","['ACOAD8f', 'AACPS6', 'FACOAE161', 'FACOAE180', 'FACOAL181t2pp', 'CTECOAI8']","['3HAD180', '3OAR180', '3OAS180', 'ACOAD7f', 'AACPS3', 'AACPS5', 'EAR180x', 'FA161ACPHi', 'FACOAE160', 'CTECOAI7', 'OCDCEAt2pp']","['3HAD181', '3OAR181', '3OAS181', 'EAR181x']",3HAD180,FACOAL181t2pp,0.041467542322500536,1,21,4,-1.0,-0.001974644872506603,STM_v1_0,PSL,False,False,0.0,0.0,0.0020785764243092,0.0
4,"['3HAD180', '3HAD181', '3OAR180', '3OAR181', '3OAS180', '3OAS181', 'ACOAD7f', 'ACOAD8f', 'AACPS3', 'AACPS4', 'AACPS5', 'AACPS6', 'EAR180x', 'EAR181x', 'FACOAE160', 'FACOAE161', 'FACOAE180', 'FACOAE181', 'CTECOAI7', 'CTECOAI8']","[-0.0019746448724999996, 0.0019746448724998786, -0.0019746448724999996, 0.0019746448724998786, -0.0019746448724999996, 0.0019746448724998786, 0.0019746448724997662, -0.001974644872499951, -0.001974644872592397, 0.0019746448724998786, -0.001974644872499951, 0.0019746448724999952, -0.0019746448724999996, 0.0019746448724998786, -0.0019746448724997662, 0.0019746448724997662, 0.001974644872499951, -0.001974644872499951, -0.0019746448724997662, 0.001974644872499951]","[0.0019746448724999996, 0.0019746448724998786, 0.0019746448724999996, 0.0019746448724998786, 0.0019746448724999996, 0.0019746448724998786, 0.0019746448724997662, 0.001974644872499951, 0.001974644872592397, 0.0019746448724998786, 0.001974644872499951, 0.0019746448724999952, 0.0019746448724999996, 0.0019746448724998786, 0.0019746448724997662, 0.0019746448724997662, 0.001974644872499951, 0.001974644872499951, 0.0019746448724997662, 0.001974644872499951]","['ACOAD8f', 'AACPS4', 'AACPS6', 'FACOAE161', 'FACOAE180', 'CTECOAI8']","['3HAD180', '3OAR180', '3OAS180', 'ACOAD7f', 'AACPS3', 'AACPS5', 'EAR180x', 'FACOAE160', 'FACOAE181', 'CTECOAI7']","['3HAD181', '3OAR181', '3OAS181', 'EAR181x']",3HAD180,CTECOAI8,0.0394928974499979,1,20,4,0.0,-9.295775954543117e-14,STM_v1_0,PSL,False,False,0.0,0.0,0.0020785764243092,0.0986683504441461
5,"['3OAR120', '3OAS120', 'ACOAD5f', '3HAD120', 'ACOATA', 'AACPS7', 'AACPS8', 'EAR120x', 'ECOAH5', 'FACOAE100', 'FACOAE120', 'FADRx2', 'HACD5i', 'ACACT10', 'MACPD']","[-0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499994, -0.002126715224750053, 0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499994, 0.0021267152247499994, -0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499976, -0.0021267152247499994, -0.0021267152247499994, 0.002126715224750053]","[0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.002126715224750053, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499976, 0.0021267152247499994, 0.0021267152247499994, 0.002126715224750053]","['ACOATA', 'AACPS7', 'FACOAE120', 'FADRx2', 'MACPD']","['3OAR120', '3OAS120', 'ACOAD5f', '3HAD120', 'AACPS8', 'EAR120x', 'ECOAH5', 'FACOAE100', 'HACD5i', 'ACACT10']",[],3OAR120,AACPS7,0.03190072837124999,1,15,0,-5.0,-0.010633576123749999,STM_v1_0,PSL,False,False,0.0,0.0,0.0983008963590211,0.0
6,"['3OAR120', '3OAS120', '3HAD120', 'ACOATA', 'AACPS2', 'AACPS7', 'EAR100x', 'EAR120y', 'ECOAH6', 'FACOAE120', 'FACOAE141', 'HACD6i', 'ACACT9', 'MACPD', 'CTECOAI6']","[-0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499994, 0.002126715224750053, -0.0021267152247499976, 0.0021267152247499976, -0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499976, 0.0021267152247499976, -0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, -0.002126715224750053, 0.0021267152247499976]","[0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.002126715224750053, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.002126715224750053, 0.0021267152247499976]","['AACPS7', 'ECOAH6', 'FACOAE120', 'HACD6i', 'ACACT9']","['3OAR120', '3OAS120', '3HAD120', 'ACOATA', 'AACPS2', 'EAR100x', 'EAR120y', 'FACOAE141', 'MACPD']",['CTECOAI6'],3OAR120,ECOAH6,0.051041165393888324,1,15,1,-3.0,-0.006380145674250002,STM_v1_0,PSL,False,True,0.0,-1.01599178466732,0.0983008963590211,0.105575913844103
7,"['3OAR120', '3OAS120', 'ACOAD5f', '3HAD120', 'ACOATA', 'AACPS7', 'AACPS8', 'EAR120x', 'ECOAH5', 'FACOAE100', 'FACOAE120', 'FADRx2', 'HACD5i', 'ACACT10', 'MACPD']","[-0.002126715224750001, -0.002126715224750001, -0.0021267152247236576, -0.002126715224750001, -0.0021267152247763654, 0.0021267152247500046, -0.0021267152247236576, -0.002126715224750001, 0.0021267152247236576, -0.0021267152247236576, 0.0021267152247500046, 0.0021267152247105015, -0.0021267152247236576, -0.0021267152247236576, 0.0021267152247763654]","[0.002126715224750001, 0.002126715224750001, 0.0021267152247236576, 0.002126715224750001, 0.0021267152247763654, 0.0021267152247500046, 0.0021267152247236576, 0.002126715224750001, 0.0021267152247236576, 0.0021267152247236576, 0.0021267152247500046, 0.0021267152247105015, 0.0021267152247236576, 0.0021267152247236576, 0.0021267152247763654]","['ACOATA', 'AACPS7', 'FACOAE120', 'FADRx2', 'MACPD']","['3OAR120', '3OAS120', 'ACOAD5f', '3HAD120', 'AACPS8', 'EAR120x', 'ECOAH5', 'FACOAE100', 'HACD5i', 'ACACT10']",[],3OAR120,FACOAE120,0.03190072837124957,1,15,0,-5.0,-0.010633576123684124,STM_v1_0,PSL,False,False,0.0,0.0,0.0983008963590211,0.0
8,"['3OAR120', '3OAS120', '3HAD120', 'ACOATA', 'AACPS2', 'AACPS7', 'EAR100x', 'EAR120y', 'ECOAH6', 'FACOAE120', 'FACOAE141', 'HACD6i', 'ACACT9', 'MACPD', 'CTECOAI6']","[-0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499994, 0.002126715224750053, -0.0021267152247499976, 0.0021267152247499976, -0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499976, 0.0021267152247499976, -0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, -0.002126715224750053, 0.0021267152247499976]","[0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.002126715224750053, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.002126715224750053, 0.0021267152247499976]","['AACPS7', 'ECOAH6', 'FACOAE120', 'HACD6i', 'ACACT9']","['3OAR120', '3OAS120', '3HAD120', 'ACOATA', 'AACPS2', 'EAR100x', 'EAR120y', 'FACOAE141', 'MACPD']",['CTECOAI6'],3OAR120,HACD6i,0.051041165393888324,1,15,1,-3.0,-0.006380145674250002,STM_v1_0,PSL,False,False,0.0,0.0,0.0983008963590211,0.0
9,"['3OAR120', '3OAS120', '3HAD120', 'ACOATA', 'AACPS2', 'AACPS7', 'EAR100x', 'EAR120y', 'ECOAH6', 'FACOAE120', 'FACOAE141', 'HACD6i', 'ACACT9', 'MACPD', 'CTECOAI6']","[-0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499994, 0.002126715224750053, -0.0021267152247499976, 0.0021267152247499976, -0.0021267152247499994, -0.0021267152247499994, -0.0021267152247499976, 0.0021267152247499976, -0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, -0.002126715224750053, 0.0021267152247499976]","[0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499994, 0.002126715224750053, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499994, 0.0021267152247499994, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.0021267152247499976, 0.002126715224750053, 0.0021267152247499976]","['AACPS7', 'ECOAH6', 'FACOAE120', 'HACD6i', 'ACACT9']","['3OAR120', '3OAS120', '3HAD120', 'ACOATA', 'AACPS2', 'EAR100x', 'EAR120y', 'FACOAE141', 'MACPD']",['CTECOAI6'],3OAR120,ACACT9,0.051041165393888324,1,15,1,-3.0,-0.006380145674250002,STM_v1_0,PSL,False,False,0.0,0.0,0.0983008963590211,0.0
