Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod
3HAD180,0.00204520334715248,0.00209327232893995,ACOAD8f,-0.00207675546043254,1.46987779336129e-05,0.00207857642430922,0,4.28116757364966e-06,-3.05257673353159e-08
3HAD180,0.00204520334715248,0.00209327232893995,AACPS6,0,5.87951140734055e-05,0.00207857642430922,0,4.28116757364966e-06,0
3HAD180,0.00204520334715248,0.00209327232893995,FACOAE180,0,3.3370198647415e-05,0.00207857642430922,0,4.28116757364966e-06,0
3HAD180,0.00204520334715248,0.00209327232893995,FACOAL181t2pp,0,3.33702008674663e-05,0.00207857642430922,0,4.28116757364966e-06,0
3HAD180,0.00204520334715248,0.00209327232893995,CTECOAI8,0,3.3370203015877e-05,0.00207857642430922,0.0986683504441461,4.28116757364966e-06,0
3OAR120,0.0982673902231185,0.0983140367398558,AACPS7,0,7.71685879367157e-05,0.0983008963590211,0,0.00966106381272542,0
3OAR120,0.0982673902231185,0.0983140367398558,ECOAH6,-2.62701545671149e-05,0,0.0983008963590211,0.105575913844103,0.00966106381272542,-0
3OAR120,0.0982673902231185,0.0983140367398558,FACOAE120,0,3.33702033780507e-05,0.0983008963590211,0,0.00966106381272542,0
3OAR120,0.0982673902231185,0.0983140367398558,HACD6i,0,2.62701545671149e-05,0.0983008963590211,0,0.00966106381272542,0
3OAR120,0.0982673902231185,0.0983140367398558,ACACT9,0,2.62701545671149e-05,0.0983008963590211,0,0.00966106381272542,0
3OAR160,0.0810309982481928,0.081079067227947,AACPS3,0,7.71685877131445e-05,0.0810644805480596,0,0.00656991775451288,0
3OAR160,0.0810309982481928,0.081079067227947,FACOAE160,0,3.33702018134674e-05,0.0810644805480596,0,0.00656991775451288,0
3OAR180,0.00204520334715248,0.00209327232893995,ACOAD8f,-0.00207675546043254,1.46987779336129e-05,0.00207857642430922,0,4.28116757364966e-06,-3.05257673353159e-08
3OAR180,0.00204520334715248,0.00209327232893995,AACPS6,0,5.87951140734055e-05,0.00207857642430922,0,4.28116757364966e-06,0
3OAR180,0.00204520334715248,0.00209327232893995,FACOAE180,0,3.3370198647415e-05,0.00207857642430922,0,4.28116757364966e-06,0
3OAR180,0.00204520334715248,0.00209327232893995,FACOAL181t2pp,0,3.33702008674663e-05,0.00207857642430922,0,4.28116757364966e-06,0
3OAR180,0.00204520334715248,0.00209327232893995,CTECOAI8,0,3.3370203015877e-05,0.00207857642430922,0.0986683504441461,4.28116757364966e-06,0
3OAS120,0.0982673902231185,0.0983140367398558,AACPS7,0,7.71685879367157e-05,0.0983008963590211,0,0.00966106381272542,0
3OAS120,0.0982673902231185,0.0983140367398558,ECOAH6,-2.62701545671149e-05,0,0.0983008963590211,0.105575913844103,0.00966106381272542,-0
3OAS120,0.0982673902231185,0.0983140367398558,FACOAE120,0,3.33702033780507e-05,0.0983008963590211,0,0.00966106381272542,0
3OAS120,0.0982673902231185,0.0983140367398558,HACD6i,0,2.62701545671149e-05,0.0983008963590211,0,0.00966106381272542,0
3OAS120,0.0982673902231185,0.0983140367398558,ACACT9,0,2.62701545671149e-05,0.0983008963590211,0,0.00966106381272542,0
3OAS160,0.0810309982481928,0.081079067227947,AACPS3,0,7.71685877131445e-05,0.0810644805480596,0,0.00656991775451288,0
3OAS160,0.0810309982481928,0.081079067227947,FACOAE160,0,3.33702018134674e-05,0.0810644805480596,0,0.00656991775451288,0
3OAS180,0.00204520334715248,0.00209327232893995,ACOAD8f,-0.00207675546043254,1.46987779336129e-05,0.00207857642430922,0,4.28116757364966e-06,-3.05257673353159e-08
3OAS180,0.00204520334715248,0.00209327232893995,AACPS6,0,5.87951140734055e-05,0.00207857642430922,0,4.28116757364966e-06,0
3OAS180,0.00204520334715248,0.00209327232893995,FACOAE180,0,3.3370198647415e-05,0.00207857642430922,0,4.28116757364966e-06,0
3OAS180,0.00204520334715248,0.00209327232893995,FACOAL181t2pp,0,3.33702008674663e-05,0.00207857642430922,0,4.28116757364966e-06,0
3OAS180,0.00204520334715248,0.00209327232893995,CTECOAI8,0,3.3370203015877e-05,0.00207857642430922,0.0986683504441461,4.28116757364966e-06,0
3HAD120,0.0982673902231185,0.0983140367398558,AACPS7,0,7.71685879367157e-05,0.0983008963590211,0,0.00966106381272542,0
3HAD120,0.0982673902231185,0.0983140367398558,ECOAH6,-2.62701545671149e-05,0,0.0983008963590211,0.105575913844103,0.00966106381272542,-0
3HAD120,0.0982673902231185,0.0983140367398558,FACOAE120,0,3.33702033780507e-05,0.0983008963590211,0,0.00966106381272542,0
3HAD120,0.0982673902231185,0.0983140367398558,HACD6i,0,2.62701545671149e-05,0.0983008963590211,0,0.00966106381272542,0
3HAD120,0.0982673902231185,0.0983140367398558,ACACT9,0,2.62701545671149e-05,0.0983008963590211,0,0.00966106381272542,0
3HAD140,0.0960287426214445,0.09607538913693,AACPS1,0,7.7168591919391e-05,0.096062245658357,0,0.00922599881568537,0
3HAD140,0.0960287426214445,0.09607538913693,FACOAE140,0,3.337020079957e-05,0.096062245658357,-0.00226349805102363,0.00922599881568537,0
3HAD160,0.0810309982481928,0.081079067227947,AACPS3,0,7.71685877131445e-05,0.0810644805480596,0,0.00656991775451288,0
3HAD160,0.0810309982481928,0.081079067227947,FACOAE160,0,3.33702018134674e-05,0.0810644805480596,0,0.00656991775451288,0
ADK1,0,1000,ADK3,-999.001839355644,0.998314981537622,0.998162024640289,0,0,-997.31850281238
ASNS2,0.130145465758895,0.130376971524208,ASNS1,0,0.000154337168492807,0.130299983119186,0,0.0169679716832523,0
ATPM,8.39,8.39,pa2_ST,9.55665996116295e-07,9.55667321521488e-07,8.39,0,70.3921,9.13298762777624e-13
ATPM,8.39,8.39,ps2_ST,9.55665996116295e-07,9.55667321521484e-07,8.39,0,70.3921,9.13298762777621e-13
DHORD2,0,0.181176864220767,DHORD5,0,0.181176864220269,0,0.023891683038037,0,0
EAR121x,0.00665765875264315,0.00730837762692873,EAR121y,0,0.00061734867661789,0.0983008963590211,0,4.86566842755434e-05,0
EAR141x,0.00665765871333592,0.00730837762800225,EAR141y,0,0.000617348671093421,0,0.00727501748508228,4.86566839954185e-05,0
DKMPPD3,0.00330073466632363,0.00334483562718648,DKMPPD,0,4.4096336811635e-05,0.0500416079568293,0,1.10404149078088e-05,0
EAR161x,0.00665765875397675,0.00730837762841113,EAR161y,0,0.000617348725395317,0,0.0810644805480596,4.86566842951592e-05,0
EAR181x,0.00250051156868469,0.00315123052366636,EAR181y,0,0.000617348758169101,0,0,7.87968838002007e-06,0
EAR40x,0.10495841921879,0.105580590887516,EAR40y,0,0.000617348791786654,0,0,0.0110815719197394,0
EAR60x,0.10495841912507,0.105580590887835,EAR60y,0,0.0006173487130825,0,0,0.0110815719098779,0
EAR80x,0.104958419098807,0.105580590887835,EAR80y,0,0.000617348744923252,0,0,0.0110815719071051,0
FORtppi,0.410029659401631,0.410735200785674,GART,0,0.000154337188604359,0,0,0.16841361448241,0
G5SD,0.122634886654516,0.122912693585724,NACODA,0,0.000154337188789697,0,0,0.0150733842462865,0
FUM,3.36838522130892,3.36900257001044,SUCCt3pp,0,0.000205782878050324,0,0,11.3480984673749,0
GARFT,0.214484901580286,0.214647695601556,GART,0,0.000154337188604359,0,0,0.0460386898655349,0
GLCtex_copy1,-995.000006430715,5,GLCtex_copy2,0,1000,0,0,-4975.00003215357,0
GLYCtpp,-0.000387260879588944,-0.00032011418554178,GLYCtex,-1.10240856366861e-05,0,0,0,1.23967701061808e-07,-0
GLU5K,0.122634886654516,0.122912693585724,NACODA,0,0.000154337188789697,0,0,0.0150733842462865,0
GLUDy,-4.09232736957496,-4.09155568372047,GLUSy,0,0.000154337177884172,-0.058287105606917,0,16.7439853086292,0
KAS15,0,0.105580590887853,KAS14,0,0.105580590887853,0,0,0,0
Kt2pp,0.0846573579084209,0.0851718151871142,Kabcpp,0,0.000205782918091775,0,0,0.00721042084200541,0
