,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn_1_Prod,Rxn_2_Prod,Type
31,3HAD120,ELE_Rxns,0.0,1.07105739025566,FACOAE120,ELE_Rxns,0.0,15.2670996540149,0.0983008963590211,0.0,0.0,0.0,PSL
32,3HAD120,ELE_Rxns,0.0,1.07105739025566,HACD6i,ELE_Rxns,0.0,1.01599178466732,0.0983008963590211,0.0,0.0,0.0,PSL
33,3HAD120,ELE_Rxns,0.0,1.07105739025566,ACACT9,ELE_Rxns,0.0,1.01599178466732,0.0983008963590211,0.0,0.0,0.0,PSL
34,3HAD140,ELE_Rxns,0.0,0.297247881068533,AACPS1,ELE_Rxns,0.0,35.3051683306848,0.096062245658357,0.0,0.0,0.0,PSL
35,3HAD140,ELE_Rxns,0.0,0.297247881068533,FACOAE140,ELE_Rxns,0.0,15.2670998703283,0.096062245658357,-0.0022634980510236,0.0,0.0,PSL
36,3HAD160,ELE_Rxns,0.0,0.301174508291164,AACPS3,ELE_Rxns,0.0,35.3051684501348,0.0810644805480596,0.0,0.0,0.0,PSL
37,3HAD160,ELE_Rxns,0.0,0.301174508291164,FACOAE160,ELE_Rxns,0.0,15.2670998606438,0.0810644805480596,0.0,0.0,0.0,PSL
38,ADK1,ELE_Rxns,0.0,1000.0,ADK3,ELE_Rxns,-999.950092923447,70.6602436483224,0.998162024640289,0.0,0.0,-70656.7172021334,PSL
39,ASNS2,ELE_Rxns,0.0,35.3116830595105,ASNS1,ELE_Rxns,0.0,23.5411221242939,0.130299983119186,0.0,0.0,0.0,PSL
40,ATPM,pFBAOpt_Rxns,8.39,8.39,pa2_ST,Essential_Rxns,4.77832600154215e-08,5.98825429954942e-07,8.39,0.0,70.39210000000001,2.861383122338357e-14,RSL
41,ATPM,pFBAOpt_Rxns,8.39,8.39,ps2_ST,Essential_Rxns,4.77832600154215e-08,5.98825429954901e-07,8.39,0.0,70.39210000000001,2.861383122338161e-14,RSL
