5DGLCNR
ACBIPGT
CHOLD
AHCYSNS
ACGS
CMLDC
COBALTt5
ACODA
COCHL
AMAOTr
CPC6R
CRNabc
CYANST
CYRDAAT
ACPS1
CYRDAR2
AOXSr
Clt
ARGDC
ADCPS1
ADCPS2
DBTS
DCPDP
ADCYRS
BACCL
DCYTD
ADMDC
DGC3D
BETALDHx
DGK1
BTS2
BTS3r
CBIAT
CBLAT
ADOCBIK
ADOCBLS
AGMT
EX_malthp_e
DRPA
EX_mg2_e
EX_na1_e
EX_no_e
DURIK1
DURIPP
FAH4
EX_arab__L_e
EX_atp_e
EX_ca2_e
EX_chol_e
EX_cl_e
EX_cobalt2_e
EX_crn_e
EX_cu2_e
EX_fe2_e
EX_gua_e
EX_glyb_e
EX_k_e
GLYBabc
FRRPPDIMAS
GMAND
GFUCS
GLNSP1
HOPNTAL
GLNSP2
GLNSP3
FASm3001
FCLPA
MMSAD2
MNDNS1
MNDNS2
LPLIPAL2E180
MPML
MSHOXH
MTAN
MALTHPabc
MCBTS3
MDFDH
NNAM
MGt5
NAPRT
MHPGLUT
NNDMBRT
NO
NOt
NTD1
PDX5POi
NTD3
PGLS
PGLYCP
NTD6
NTD8
PUNP4
PYAM5PO
PYDXNO
PYDXO
PNCDC
R05217
R05219
NTPTP1
R05224
PPTGS
RPPDIMAS
RRPPDIMAS
RZ5PP
SHCHD3
SPMS
SPODM
UDPGD
THFGLUS
UPPDC2
TMDPP
TMHAS5
TMHAS6
TRIATS
DTBTST
PYDXS
2O4EH
G6PDH3
PLPS
PDBL_3
PDBL_4
EX_ni2_e
2PLS
PC11M
PC17M
PC20M
PC6AR
PC6YM
PC8XM
HIPB
HIPA
CHOLCOA
ECHA191
FADE30
CYP3
CYP2
PRCOA1
NIt5
EX_mn2_e
LPPGS
DMHDRFS_1
LPFPLT
FADE281
GF4GL_0
GF4GL_1
CPMPS
FADD3
KSTD
FADD17
HSAC
HSAE
HIAA
IPDAB
KSH
ECHA193
CYP1
MANT1
ARABT
HOAS
SR1
CHSTEROLt_1
EX_chsterol_e
MOEA1
MPTAT
MOBA
MOAE1
FADE51
MOEB1
FADE52
PHBADA
HIAt
PHBADB
PHBADC
GLYTRS
SELCYSS
TYRTRS
PHBADD
PAPA1
ECHA20
CHOL1
PAPA2
FADE282
HOPNTAL2
ECHA192
HSA
FADB3
FADB2
CHCD
HDAD
CHOD
LAT
3HSA
MMPL8
PYDXNtr
EX_pydxn_e
MHUD1
PEPA
ROSFE
ACONMT
MANPGH
ADOCBIAH
ADOCBLabc
COB2
EPH
DGTP8DETOX
DGTP8OXO
GTP8OXO
LIPW
CBL2OR
DRBK
5DOAN
CHOLK
PC_TBt
MBTA3
EX_pc_TB_e
CPPPGO2
EX_hia_e
DM_cpppg1_c
NMO
MTAP
PKS122
PKS121
ORNDC
APPLDHr
AOBUTDs
THRD
EX_adocbl_e
DMBI
BARB
EX_mobd_e
BTNTe
EX_btn_e
