Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2
ADPT,0.0651314662989294,0.0651694260115703,ADD,0,3.78945073030712e-05,0.0651694260115801,0
ADPT,0.0651314662989294,0.0651694260115703,HXPRT,0,3.78942743698985e-05,0.0651694260115801,0
ALAD_L,19.6043723858428,19.6045429104,FADOX,0,0.000113682915817037,19.6045425145654,0
ANS2,0.0373550064755367,0.0374154761988984,ANS,0,5.68414097675829e-05,0.037411885447566,0
DHPS,0.0346121792379149,0.0346406346736722,FOLD3,0,2.84207261040947e-05,0.0346406346736722,0
DHPS,0.0346121792379149,0.0346406346736722,HPPK,0,2.84207261040947e-05,0.0346406346736722,0
CAT,0.0322373593251957,0.0323489622475122,CCP,0,0.00022289123396098,0.0323489622475118,0
GARFT,0.351365810167373,0.375018330168235,FTHFD,0,5.6841437301447e-05,0.351423003450163,0
GART,0,0.0236477831464939,FTHFLi,0,0.0236477828263375,0.0235909650254931,0
HCO3E,-999996.767138976,999999,H2CO3D,-999996.767138976,999999,2.23286325854482,-2.28171648242181e-12
HCO3E,-999996.767138976,999999,H2CO3D2,-999999,999996.767138976,2.23286325854482,0
ME1,-2.80555512630518,-2.80505491898308,AKO,0,2.72840451058798e-05,-2.8055071529693,0
ME1,-2.80555512630518,-2.80505491898308,FADOX,0,0.000113682915817037,-2.8055071529693,0
KAS15,0,0.23172644721145,ACOATA,0,0.231726447211451,0.23172644721145,0
KAS15,0,0.23172644721145,KAS14,0,0.231726447211451,0.23172644721145,0
NH4t,-20.9753188631308,-19.838327477913,ARGSL,0,1.0334794772443e-05,-19.8385600808146,0
NH4t,-20.9753188631308,-19.838327477913,ARGSS,0,1.0334794772443e-05,-19.8385600808146,0
NH4t,-20.9753188631308,-19.838327477913,OCBT,0,1.0334794772443e-05,-19.8385600808146,0
NH4t,-20.9753188631308,-19.838327477913,UREAt,-0.000227363612695264,0,-19.8385600808146,0
TKT2,-0.439897832701599,-0.439882059979064,GND,0,3.5280894520356e-05,-0.439894260656477,0
TKT2,-0.439897832701599,-0.439882059979064,PGL,0,3.52808924786482e-05,-0.439894260656477,0
TRPS1,0,0.0374154761791676,TRPS2,0,0.0374154761785013,0.037411885447566,0
TRPS1,0,0.0374154761791676,TRPS3,0,0.0374154761785013,0.037411885447566,0
UREA,1.95629428683445,1.95646481201171,UREAt,-0.000227363612695264,0,1.9564126280428,0
URIDK2r,-0.0171124735287941,-0.0170840355196415,DUTPDP,0,2.8420700115106e-05,-0.0171124735287941,0
RNDR4,0.0170556149343735,0.0171124735287941,DCTPD,0,5.68417598907217e-05,0.0171124735287941,0
RPE,-0.5717628967918,-0.57173574801732,GND,0,3.5280894520356e-05,-0.571759840918498,0
RPE,-0.5717628967918,-0.57173574801732,PGL,0,3.52808924786482e-05,-0.571759840918498,0
ALAR,-9.96175677760039,-9.96158625233308,DALAt2r,9.99982947569342,10,-9.96175673932027,10
ATPS4r,41.1198354016195,41.1200627672645,ACKr,-999999,-11.0595053257769,41.1198912717873,-11.0597290522866
ATPS4r,41.1198354016195,41.1200627672645,ACt2r,-11.0655601538457,-11.0653249478638,41.1198912717873,-11.0655486789118
GART,0,0.0236477831464939,GARFT,0.351365810167373,0.375018330168235,0.0235909650254931,0.351423003450163
G3PD2,16.7288192390571,16.7293876566979,G3PD1ir,16.8637076570218,16.8642760718671,16.7289349567074,16.8638235096886
ME1,-2.80555512630518,-2.80505491898308,FRD5,1.95052397304483,1.95102417831921,-2.8055071529693,1.9509753493345
ME1,-2.80555512630518,-2.80505491898308,FUM,-1.39388278110694,-1.39338257606984,-2.8055071529693,-1.39383339437313
NH4t,-20.9753188631308,-19.838327477913,ATPS4r,41.1198354016195,41.1200627672645,-19.8385600808146,41.1198912717873
TKT1,-0.131865580262014,-0.131853687974978,TALA,-0.155144086762722,-0.155132171173151,-0.131865580262021,-0.155144086762729
TKT2,-0.439897832701599,-0.439882059979064,TALA,-0.155144086762722,-0.155132171173151,-0.439894260656477,-0.155144086762729
TKT2,-0.439897832701599,-0.439882059979064,TKT1,-0.131865580262014,-0.131853687974978,-0.439894260656477,-0.131865580262021
PTAr,11.0595053257769,999999,ATPS4r,41.1198354016195,41.1200627672645,11.0597290522866,41.1198912717873
RPE,-0.5717628967918,-0.57173574801732,TALA,-0.155144086762722,-0.155132171173151,-0.571759840918498,-0.155144086762729
RPE,-0.5717628967918,-0.57173574801732,TKT1,-0.131865580262014,-0.131853687974978,-0.571759840918498,-0.131865580262021
RPE,-0.5717628967918,-0.57173574801732,TKT2,-0.439897832701599,-0.439882059979064,-0.571759840918498,-0.439894260656477
