Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod
GARFT,-14.5718392804353,0.135515995739085,GART,0,14.7073542006543,0.135515102408,0,-1.9747173098381,0
GARFT,-14.5718392804353,0.135515995739085,PFL,0,34.2120682115401,0.135515102408,0.195655283038232,-1.9747173098381,0
GHMT2r,-14.3811156176078,-0.63093237733382,PGCD,0,28.9525092795507,0.00340270057457795,0,9.07351146532985,0
GHMT2r,-14.3811156176078,-0.63093237733382,PSERT,0,28.9525092795507,0.00340270057457795,1.67299444915336e-05,9.07351146532985,0
GHMT2r,-14.3811156176078,-0.63093237733382,PSP_L,0,28.9525092795507,0.00340270057457795,0,9.07351146532985,0
3HAD120,0,0.0231955224075624,AACPS7,0,60.5004505133078,0,0,0,0
3HAD120,0,0.0231955224075624,FACOAE120,0,20.1668168377701,0,0,0,0
3HAD120,0,0.0231955224075624,ECOAH6,-0.0231955224074909,0,0,1.60016463612283,0,-0
3HAD120,0,0.0231955224075624,HACD6i,0,0.0231955224074877,0,0,0,0
3HAD120,0,0.0231955224075624,ACACT9,0,0.0231955224074877,0,0,0,0
3HAD140,0,0.0186585944076199,AACPS1,0,60.5004505132941,0,0.0436679907070837,0,0
3HAD140,0,0.0186585944076199,FACOAE140,0,20.166816837772,0,0,0,0
3HAD160,0,0.0325529364075959,AACPS3,0,60.5004505132946,0,0,0,0
3HAD160,0,0.0325529364075959,FACOAE160,0,20.1668168377719,0,0,0,0
3OAR120,0,0.0231955224076046,AACPS7,0,60.5004505133078,0.110587768673783,0,0,0
3OAR120,0,0.0231955224076046,FACOAE120,0,20.1668168377701,0.110587768673783,0,0,0
3OAR120,0,0.0231955224076046,ECOAH6,-0.0231955224074909,0,0.110587768673783,1.60016463612283,0,-0
3OAR120,0,0.0231955224076046,HACD6i,0,0.0231955224074877,0.110587768673783,0,0,0
3OAR120,0,0.0231955224076046,ACACT9,0,0.0231955224074877,0.110587768673783,0,0,0
3OAR160,0,0.0325529364075692,AACPS3,0,60.5004505132946,0,0,0,0
3OAR160,0,0.0325529364075692,FACOAE160,0,20.1668168377719,0,0,0,0
3OAS120,0,0.0231955224075624,AACPS7,0,60.5004505133078,0.0104576330992029,0,0,0
3OAS120,0,0.0231955224075624,FACOAE120,0,20.1668168377701,0.0104576330992029,0,0,0
3OAS120,0,0.0231955224075624,ECOAH6,-0.0231955224074909,0,0.0104576330992029,1.60016463612283,0,-0
3OAS120,0,0.0231955224075624,HACD6i,0,0.0231955224074877,0.0104576330992029,0,0,0
3OAS120,0,0.0231955224075624,ACACT9,0,0.0231955224074877,0.0104576330992029,0,0,0
3OAS160,0,0.0325529364075959,AACPS3,0,60.5004505132946,0.0138943606795266,0,0,0
3OAS160,0,0.0325529364075959,FACOAE160,0,20.1668168377719,0.0138943606795266,0,0,0
ASNS2,0,60.5741755932985,ASNS1,0,30.2870877966523,0.135515102408,0.16954210815378,0,0
CYSabcpp,0.999995697937795,61.5004505133213,CYSS,0,21.2380517478454,0,0,61.5001859345576,0
CYSabcpp,0.999995697937795,61.5004505133213,SERAT,0,21.2380517478468,0,0,61.5001859345576,0
CYSabcpp,0.999995697937795,61.5004505133213,SULR,0,14.167999353383,0,0,61.5001859345576,0
CYSabcpp,0.999995697937795,61.5004505133213,SO4tex,0,14.1679993533863,0,0,61.5001859345576,0
CYSabcpp,0.999995697937795,61.5004505133213,SULabcpp,0,14.1679993533863,0,0,61.5001859345576,0
CYSabcpp,0.999995697937795,61.5004505133213,PAPSSH,0,14.1679993533866,0,0,61.5001859345576,0
CYStex,0.999995697934717,1,CYSS,0,21.2380517478454,0,0,0.999995697934717,0
CYStex,0.999995697934717,1,SERAT,0,21.2380517478468,0,0,0.999995697934717,0
CYStex,0.999995697934717,1,SULR,0,14.167999353383,0,0,0.999995697934717,0
CYStex,0.999995697934717,1,SO4tex,0,14.1679993533863,0,0,0.999995697934717,0
CYStex,0.999995697934717,1,SULabcpp,0,14.1679993533863,0,0,0.999995697934717,0
CYStex,0.999995697934717,1,PAPSSH,0,14.1679993533866,0,0,0.999995697934717,0
CO2tex,-52.1431533263803,-6.82295745386284,Htex,-5.12500272572707,50.2667680054315,0,0,355.77051665614,-257.617323041326
DHORD2,0,0.0893512768354682,DHORD5,0,0.0893512768360085,-8.28424674754113,-8.27071377492966,0,0
FLDR,0,22.3006205536307,NDPK8,-22.2753027808623,60.5074543959338,0,0,0,-1347.82186716864
GLU5K,0,44.2762775505204,ACGK,0,26.5657665303039,0,-0.218339953535418,0,0
GLU5K,0,44.2762775505204,ACGS,0,26.5657665303039,0,0,0,0
GLU5K,0,44.2762775505204,AGPR,-26.5657665303039,0,0,0,0,-0
GLUDy,-133.960013000364,58.8486576765012,GLUSy,0,60.5004505133142,0,0,-7883.36694739806,0
FORtppi,0,242.449046460981,GART,0,14.7073542006543,0,0,0,0
GLYCtpp,-0.00149435366922356,6.25150062838451,GLYCtex,-6.25299497904706,0,0,0,-0.00934195290217976,-0
KAS15,0,0.0373843823215535,KAS14,0,0.0373843823216199,0,0,0,0
LYSabcpp,0.07088734896833,48.4712499106571,ASAD,-16.3976809628734,0,0,0,3.43599840734788,-0
LYSabcpp,0.07088734896833,48.4712499106571,ASPK,0,16.3976809628734,0,0,3.43599840734788,0
LYSabcpp,0.07088734896833,48.4712499106571,DAPDC,0,2.15103355083457e-06,0,0,3.43599840734788,0
