Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction,Rxn_1_Prod,Rxn_2_Prod
PSL,pFBAOpt_Rxns,ELE_Rxns,117,0.6190476190476191,117,117
PSL,pFBAOpt_Rxns,MLE_Rxns,28,0.14814814814814814,28,28
PSL,pFBAOpt_Rxns,pFBAOpt_Rxns,27,0.14285714285714285,27,27
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,17,0.08994708994708994,17,17
